timestamp,minute_of_day,pv_power_kw,battery_soc_kwh,battery_soc_pct,battery_charge_kw,battery_discharge_kw,pv_to_load_kw,pv_to_battery_kw,pv_wasted_kw,grid_to_load_kw,bedroom_kw,hall_kw,kitchen_kw,washing_machine_kw,motor_pump_kw,geyser_kw,bedroom_source,hall_source,kitchen_source,washing_machine_source,motor_pump_source,geyser_source
2025-12-06 00:00:00,0,0.0,0.498,49.8,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:01:00,1,0.0,0.497,49.7,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:02:00,2,0.0,0.495,49.5,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:03:00,3,0.0,0.494,49.4,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:04:00,4,0.0,0.492,49.2,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:05:00,5,0.0,0.491,49.1,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:06:00,6,0.0,0.489,48.9,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:07:00,7,0.0,0.487,48.7,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:08:00,8,0.0,0.486,48.6,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:09:00,9,0.0,0.484,48.4,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:10:00,10,0.0,0.483,48.3,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:11:00,11,0.0,0.481,48.1,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:12:00,12,0.0,0.479,47.9,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:13:00,13,0.0,0.478,47.8,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:14:00,14,0.0,0.476,47.6,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:15:00,15,0.0,0.475,47.5,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:16:00,16,0.0,0.473,47.3,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:17:00,17,0.0,0.472,47.2,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:18:00,18,0.0,0.47,47.0,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:19:00,19,0.0,0.468,46.8,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:20:00,20,0.0,0.467,46.7,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:21:00,21,0.0,0.465,46.5,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:22:00,22,0.0,0.464,46.4,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:23:00,23,0.0,0.462,46.2,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:24:00,24,0.0,0.461,46.1,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:25:00,25,0.0,0.459,45.9,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:26:00,26,0.0,0.457,45.7,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:27:00,27,0.0,0.456,45.6,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:28:00,28,0.0,0.454,45.4,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:29:00,29,0.0,0.453,45.3,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:30:00,30,0.0,0.451,45.1,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:31:00,31,0.0,0.449,44.9,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:32:00,32,0.0,0.448,44.8,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:33:00,33,0.0,0.446,44.6,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:34:00,34,0.0,0.445,44.5,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:35:00,35,0.0,0.443,44.3,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:36:00,36,0.0,0.442,44.2,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:37:00,37,0.0,0.44,44.0,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:38:00,38,0.0,0.438,43.8,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:39:00,39,0.0,0.437,43.7,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:40:00,40,0.0,0.435,43.5,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:41:00,41,0.0,0.434,43.4,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:42:00,42,0.0,0.432,43.2,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:43:00,43,0.0,0.431,43.1,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:44:00,44,0.0,0.429,42.9,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:45:00,45,0.0,0.427,42.7,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:46:00,46,0.0,0.426,42.6,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:47:00,47,0.0,0.424,42.4,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:48:00,48,0.0,0.423,42.3,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:49:00,49,0.0,0.421,42.1,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:50:00,50,0.0,0.419,41.9,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:51:00,51,0.0,0.418,41.8,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:52:00,52,0.0,0.416,41.6,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:53:00,53,0.0,0.415,41.5,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:54:00,54,0.0,0.413,41.3,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:55:00,55,0.0,0.412,41.2,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:56:00,56,0.0,0.41,41.0,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:57:00,57,0.0,0.408,40.8,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:58:00,58,0.0,0.407,40.7,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:59:00,59,0.0,0.405,40.5,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:00:00,60,0.0,0.404,40.4,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:01:00,61,0.0,0.402,40.2,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:02:00,62,0.0,0.401,40.1,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:03:00,63,0.0,0.399,39.9,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:04:00,64,0.0,0.397,39.7,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:05:00,65,0.0,0.396,39.6,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:06:00,66,0.0,0.394,39.4,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:07:00,67,0.0,0.393,39.3,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
